version,build,date,bullet_text,patch_id,bullet_idx_in_patch,bullet_id
2.5.2,70156,"January 12, 2026",Various updates to The Tower.,2.5.2_70156,17,2.5.2_70156_17
2.5.2,70156,"January 12, 2026","Meteors spawned by the Essence of Hellfire now only deal damage over time, and no longer deal immediate damage or Stun players hit.",2.5.2_70156,18,2.5.2_70156_18
2.5.2,70156,"January 12, 2026","When attempting to sanctify items that cannot be sanctified, you’ll now be better informed why it can’t be sanctified.",2.5.2_70156,19,2.5.2_70156_19
2.5.2,70156,"January 12, 2026",Critical Strike Damage,2.5.2_70156,20,2.5.2_70156_20
2.5.2,70156,"January 12, 2026",Bonus Damage over Time,2.5.2_70156,21,2.5.2_70156_21
2.5.2,70156,"January 12, 2026",Damage to Vulnerable enemies,2.5.2_70156,22,2.5.2_70156_22
2.5.2,70156,"January 12, 2026",Overpower Damage,2.5.2_70156,23,2.5.2_70156_23
2.5.2,70156,"January 12, 2026",Lucky Hit to Gain Resource,2.5.2_70156,24,2.5.2_70156_24
2.5.2,70156,"January 12, 2026",Fixed an issue where Paladins could become stuck while climbing.,2.5.2_70156,25,2.5.2_70156_25
2.5.2,70156,"January 12, 2026",Fixed an issue where Shield Charge could fail to hit enemies who were close to the player.,2.5.2_70156,26,2.5.2_70156_26
2.5.2,70156,"January 12, 2026",Fixed an issue where the player would get stuck in place if using Advance assigned to the right mouse button while March of the Stalwart was equipped.,2.5.2_70156,27,2.5.2_70156_27
2.5.2,70156,"January 12, 2026",Fixed an issue where the Rite of Mercy upgrade for Holy Light made Paladins untargetable by Spiritborn's Toxic Skin Passive when playing in PvP.,2.5.2_70156,28,2.5.2_70156_28
2.5.2,70156,"January 12, 2026",Fixed an issue where Falling Star with the Freefall upgrade and Rally with the Words of Sacrifice upgrade didn't generate resolve when the Aspect of Valiance was equipped.,2.5.2_70156,29,2.5.2_70156_29
2.5.2,70156,"January 12, 2026",Fixed an issue where the Aspect of Valiance could not be imprinted on the expected equipment slots.,2.5.2_70156,30,2.5.2_70156_30
2.5.2,70156,"January 12, 2026",Fixed an issue where the Strength node next to the Ironclad Rare node in the Castle Paragon Board was magic instead of normal.,2.5.2_70156,31,2.5.2_70156_31
2.5.2,70156,"January 12, 2026",Fixed an issue where the Renewal passive was granting healing instead of Fortify.,2.5.2_70156,32,2.5.2_70156_32
2.5.2,70156,"January 12, 2026",Fixed an issue where the player could go out of bounds and get stuck when casting Falling Star towards a Fog Wall.,2.5.2_70156,33,2.5.2_70156_33
2.5.2,70156,"January 12, 2026",Fixed an issue where the Screen Reader did not read the Paladin Unique Icon on items.,2.5.2_70156,34,2.5.2_70156_34
2.5.2,70156,"January 12, 2026",Fixed an issue where Spiritborn players could not use the Armory until after unlocking Spirt Halls.,2.5.2_70156,35,2.5.2_70156_35
2.5.2,70156,"January 12, 2026","Damage bonus increased from 3% to 5%, up to 40% from 24%.",2.5.2_70156,36,2.5.2_70156_36
2.5.2,70156,"January 12, 2026",Line damage increased from 140% to 200%.,2.5.2_70156,37,2.5.2_70156_37
2.5.2,70156,"January 12, 2026",Spit damage increased from 40% to 95%.,2.5.2_70156,38,2.5.2_70156_38
2.5.2,70156,"January 12, 2026",Poison damage bonus increased from 50% to 100%.,2.5.2_70156,39,2.5.2_70156_39
2.5.2,70156,"January 12, 2026",Vulnerable damage bonus increased from 80% to 100%.,2.5.2_70156,40,2.5.2_70156_40
2.5.2,70156,"January 12, 2026",Damage bonus increased from 15% to 30%.,2.5.2_70156,41,2.5.2_70156_41
2.5.2,70156,"January 12, 2026",Stacking damage bonus increased from 1% to 2%.,2.5.2_70156,42,2.5.2_70156_42
2.5.2,70156,"January 12, 2026",Poison damage bonus increased from 40% to 60%.,2.5.2_70156,43,2.5.2_70156_43
2.5.2,70156,"January 12, 2026","Damage bonus increased from 15% to 30%, up to 60% from 30%.",2.5.2_70156,44,2.5.2_70156_44
2.5.2,70156,"January 12, 2026",Fixed an issue where the Screen Reader did not properly read out buttons in the Season Rank menu.,2.5.2_70156,45,2.5.2_70156_45
2.5.2,70156,"January 12, 2026",Fixed an issue where the Hellfire Adherent boss in the Hellish Descent dungeon could leave the boss arena.,2.5.2_70156,46,2.5.2_70156_46
2.5.2,70156,"January 12, 2026",Fixed an issue where quickly leaving boss arenas after entering minor boss arenas in Capstone Dungeons could allow players to circumvent the encounters.,2.5.2_70156,47,2.5.2_70156_47
2.5.2,70156,"January 12, 2026",Fixed an issue where the Leave Dungeon ability could teleport the player back to the first floor of Vault of the Crucible instead of outside the Dungeon.,2.5.2_70156,48,2.5.2_70156_48
2.5.2,70156,"January 12, 2026",Fixed an issue where enemies could endlessly spawn in the second floor of the Enclave of Darkness.,2.5.2_70156,49,2.5.2_70156_49
2.5.2,70156,"January 12, 2026",Fixed an issue where teleporting via the world map to the Hellish Descent dungeon took the player to the wrong location.,2.5.2_70156,50,2.5.2_70156_50
2.5.2,70156,"January 12, 2026",Fixed an issue where the Guardian's Lair Portal in The Pit could spawn in an unreachable location.,2.5.2_70156,51,2.5.2_70156_51
2.5.2,70156,"January 12, 2026",Fixed an issue where Belial could be damaged before he fully spawned in The Pit.,2.5.2_70156,52,2.5.2_70156_52
2.5.2,70156,"January 12, 2026",Fixed an issue where Druid players could not use the Armory until they unlocked Spirt Boons.,2.5.2_70156,53,2.5.2_70156_53
2.5.2,70156,"January 12, 2026",Fixed an issue where previously earned renown rewards for extra potion charges still applied for some players.,2.5.2_70156,54,2.5.2_70156_54
2.5.2,70156,"January 12, 2026","Fixed an issue where Elite Monsters with the Soul Drinker Affix could scale indefinitely, becoming extremely large and eventually unkillable. Who knew drinking souls could be so good for bulking?",2.5.2_70156,55,2.5.2_70156_55
2.5.2,70156,"January 12, 2026",Fixed an issue where sometimes mounts would fail to break through barriers when using Spur.,2.5.2_70156,56,2.5.2_70156_56
2.5.2,70156,"January 12, 2026",Fixed an issue where Greater Affixes would lose their unique colored text after being upgraded through Masterworking.,2.5.2_70156,57,2.5.2_70156_57
2.5.2,70156,"January 12, 2026",Fixed an issue where the Boss Health Bar would be duplicated after it revived when fighting the Entwined Souls in Enclave of Darkness.,2.5.2_70156,58,2.5.2_70156_58
2.5.2,70156,"January 12, 2026",Fixed an issue where Toughness did not display properly when comparing items.,2.5.2_70156,59,2.5.2_70156_59
2.5.2,70156,"January 12, 2026",Fixed an issue where the visual effect for the Poison Enchanted affix could persist after the damaging effect was complete.,2.5.2_70156,60,2.5.2_70156_60
2.5.2,70156,"January 12, 2026",Fixed an issue where players on controller could accidentally re-summon Azmodan when trying to collect loot after defeating him.,2.5.2_70156,61,2.5.2_70156_61
2.5.2,70156,"January 12, 2026","Various stability, performance, UI, and visual improvements.",2.5.2_70156,62,2.5.2_70156_62
2.5.1,69864,"December 18, 2025",Updated descriptions and tooltips for Heavenly Sigils so the requirements for sanctifying an item are clearer.,2.5.1_69864,0,2.5.1_69864_0
2.5.1,69864,"December 18, 2025",The Season Rank objective for clearing Pit Tier 40 has been changed to now require a Pit Tier 35 clear instead.,2.5.1_69864,1,2.5.1_69864_1
2.5.1,69864,"December 18, 2025",Various UI consistency and clarity improvements for Sanctification and Season Rank.,2.5.1_69864,2,2.5.1_69864_2
2.5.1,69864,"December 18, 2025",An audio cue has been added to further bring attention to the safe zones in the Vault of the Crucible Capstone Dungeon.,2.5.1_69864,3,2.5.1_69864_3
2.5.1,69864,"December 18, 2025",The altar to summon Azmodan has additional info added to the tooltip to better explain the requirements for summoning Azmodan.,2.5.1_69864,4,2.5.1_69864_4
2.5.1,69864,"December 18, 2025",Fixed an issue where Paladins could not get a Strength affix from Sanctification.,2.5.1_69864,5,2.5.1_69864_5
2.5.1,69864,"December 18, 2025",Fixed an issue where the Extra Damage for Justice Skills Tempering affix didn't apply properly.,2.5.1_69864,6,2.5.1_69864_6
2.5.1,69864,"December 18, 2025",Fixed an issue where the damage increase from Judgement Consumption granted by Virtuous Charge didn't properly apply.,2.5.1_69864,7,2.5.1_69864_7
2.5.1,69864,"December 18, 2025",Fixed an issue where Arbiter of Justice did not benefit from Reach of the Law when Judgement of Uriel was equipped.,2.5.1_69864,8,2.5.1_69864_8
2.5.1,69864,"December 18, 2025",Fixed an issue where the Seraph's Wings upgrade for Arbiter of Justice granted higher than intended movement speed.,2.5.1_69864,9,2.5.1_69864_9
2.5.1,69864,"December 18, 2025",Fixed an issue where the Resolve Stacks from the Aspects of Dominance and Valiance could fall off randomly.,2.5.1_69864,10,2.5.1_69864_10
2.5.1,69864,"December 18, 2025","Fixed an issue where the gauge meter for Arbiter of Justice could stop draining, even though the buff itself reduced properly.",2.5.1_69864,11,2.5.1_69864_11
2.5.1,69864,"December 18, 2025",Fixed an issue where Runes for the Paladin could not be randomly crafted at the Jeweler.,2.5.1_69864,12,2.5.1_69864_12
2.5.1,69864,"December 18, 2025",Fixed an issue where the initial questline to go through Kurast Undercity couldn't be completed for players in the eternal realm.,2.5.1_69864,13,2.5.1_69864_13
2.5.1,69864,"December 18, 2025","Fixed an issue where the Paladin quest, Call of the Paladin could have progression blocked if the associated monsters were slain by nearby NPCs.",2.5.1_69864,14,2.5.1_69864_14
2.5.1,69864,"December 18, 2025",Fixed an issue where the Herald of Hatred pet would often turn unstoppable and run away from the player.,2.5.1_69864,15,2.5.1_69864_15
2.5.1,69864,"December 18, 2025",Fixed an issue where the objective to Speak to Sihek during the Deeds of a Champion quest would shift the quest pin location incorrectly.,2.5.1_69864,16,2.5.1_69864_16
2.5.1,69864,"December 18, 2025","Various fixes and improvements to consistency, accuracy, and clarity for tooltips, descriptions, and icons for the Paladin.",2.5.1_69864,17,2.5.1_69864_17
2.5.1,69864,"December 18, 2025",Fixed an issue where the Screen Reader did not read all information in the Ensembles Tab in the Wardrobe.,2.5.1_69864,18,2.5.1_69864_18
2.5.1,69864,"December 18, 2025",Fixed an issue where the boss in the Hellish Descent could fully reset if the player entered specific locations in the boss arena.,2.5.1_69864,19,2.5.1_69864_19
2.5.1,69864,"December 18, 2025",Fixed an issue where the player could get stuck between the wall and the barrier in Enclave of Darkness.,2.5.1_69864,20,2.5.1_69864_20
2.5.1,69864,"December 18, 2025",Fixed an issue where the player respawned at the previous floor when dying during the boss encounter in Enclave of Darkness.,2.5.1_69864,21,2.5.1_69864_21
2.5.1,69864,"December 18, 2025",Fixed an issue where Azmodan's demon gate attack could spawn outside the boss arena in Breach of Sin.,2.5.1_69864,22,2.5.1_69864_22
2.5.1,69864,"December 18, 2025",Fixed an issue where monsters could infinitely spawn in Breach of Sin.,2.5.1_69864,23,2.5.1_69864_23
2.5.1,69864,"December 18, 2025",Fixed an issue where monsters spawned by Animus Carriers also dropped Animus.,2.5.1_69864,24,2.5.1_69864_24
2.5.1,69864,"December 18, 2025",Fixed an issue where Tortured Gifts failed to respawn if Helltide re-appeared in the same region where it was previously.,2.5.1_69864,25,2.5.1_69864_25
2.5.1,69864,"December 18, 2025",Fixed an issue where access to Divine Gifts could be lost when playing in Local Co-Op.,2.5.1_69864,26,2.5.1_69864_26
2.5.1,69864,"December 18, 2025",Fixed an issue where Meteors spawned by the Essence of Hellfire could reflect Thorns damage back onto the player.,2.5.1_69864,27,2.5.1_69864_27
2.5.1,69864,"December 18, 2025",Fixed an issue where the Sanctification Affix for adding quality could malfunction.,2.5.1_69864,28,2.5.1_69864_28
2.5.1,69864,"December 18, 2025",Fixed an issue where Sorcerer's Flame Shield Enchantment would fail to activate if Flame Shield was equipped to the Skill Bar and Orsivane was equipped.,2.5.1_69864,29,2.5.1_69864_29
2.5.1,69864,"December 18, 2025",Fixed an issue where the visual and audio effects for the Essence of Squalor Divine Gift persisted in town.,2.5.1_69864,30,2.5.1_69864_30
2.5.1,69864,"December 18, 2025",Fixed an issue where the Spectral Shiver Cosmetic bundle would be missing even if it was properly owned.,2.5.1_69864,31,2.5.1_69864_31
2.5.1,69864,"December 18, 2025","Fixed an issue where the Leaderboard was viewable, despite having no entries there.",2.5.1_69864,32,2.5.1_69864_32
2.5.1,69864,"December 18, 2025",Fixed an issue where tempering Legendary Ancestral Armor required more material types than intended.,2.5.1_69864,33,2.5.1_69864_33
2.5.1,69864,"December 18, 2025",Fixed an issue where the Resolute Defender Challenge could be unlocked when not playing as a Paladin.,2.5.1_69864,34,2.5.1_69864_34
2.5.1,69864,"December 18, 2025","Various stability, UI, visual, performance, and audio improvements.",2.5.1_69864,35,2.5.1_69864_35
2.5.0,69713,"December 11, 2025",Upgrading an affix to a Greater Affix can now also occur on non-ancestral items.,2.5.0_69713,0,2.5.0_69713_0
2.5.0,69713,"December 11, 2025",Affixes on Ancestral Unique or Mythic Items can no longer be replaced.,2.5.0_69713,1,2.5.0_69713_1
2.5.0,69713,"December 11, 2025",Indestructible affix replaced by adding 5-25 Quality ranks.,2.5.0_69713,2,2.5.0_69713_2
2.5.0,69713,"December 11, 2025","To sanctify an item, it only needs to have an item power of 750 or higher in Torment difficulties, rather than being Ancestral.",2.5.0_69713,3,2.5.0_69713_3
2.5.0,69713,"December 11, 2025","Affix ranges have been adjusted across the board. In general, affix values have been increased, and ranges have been narrowed, and some affixes now have a higher maximum.",2.5.0_69713,4,2.5.0_69713_4
2.5.0,69713,"December 11, 2025",Additional Legendary powers have been added.,2.5.0_69713,5,2.5.0_69713_5
2.5.0,69713,"December 11, 2025",Reduced item quality rewards in pre-Torment difficulties.,2.5.0_69713,6,2.5.0_69713_6
2.5.0,69713,"December 11, 2025",Bonus experience from the maggots in Helltide has been adjusted.,2.5.0_69713,7,2.5.0_69713_7
2.5.0,69713,"December 11, 2025","Glyph Upgrades now get a scaling chance to grant an extra upgrade attempt based on Divine Gift rank. Rank 1 grants a 25% chance, up to a 100% upgrade chance at Rank 5.",2.5.0_69713,8,2.5.0_69713_8
2.5.0,69713,"December 11, 2025",Purified Gifts now grant 2 levels instead of one.,2.5.0_69713,9,2.5.0_69713_9
2.5.0,69713,"December 11, 2025",Andariel no longer regenerates Health if you die.,2.5.0_69713,10,2.5.0_69713_10
2.5.0,69713,"December 11, 2025",Andariel's phase transition is now much quicker.,2.5.0_69713,11,2.5.0_69713_11
2.5.0,69713,"December 11, 2025",The size of Belial's eyeballs has been increased to make them easier to target.,2.5.0_69713,12,2.5.0_69713_12
2.5.0,69713,"December 11, 2025",Belial's death now takes less time to finish.,2.5.0_69713,13,2.5.0_69713_13
2.5.0,69713,"December 11, 2025",Shrines no longer disappear when fighting Azmodan.,2.5.0_69713,14,2.5.0_69713_14
2.5.0,69713,"December 11, 2025",Azmodan has been granted resilience to bring him more in line with other World Bosses.,2.5.0_69713,15,2.5.0_69713_15
2.5.0,69713,"December 11, 2025",Lesser Evil events in the Overworld now reward unique items from Lair Boss reward pools.,2.5.0_69713,16,2.5.0_69713_16
2.5.0,69713,"December 11, 2025",Lucky Hit gain resource reduced from 66% to 22%.,2.5.0_69713,17,2.5.0_69713_17
2.5.0,69713,"December 11, 2025",Primary resource generation reduced to 50%.,2.5.0_69713,18,2.5.0_69713_18
2.5.0,69713,"December 11, 2025","Previous (PTR): Each point in your Primary Stat increases your Primary Resource by 3% but you have 75% reduced life. Any damage you would take is dealt to your Primary Resource before your life. If you have not taken damage in 6 seconds, your Resource regenerates to full over 3 seconds.",2.5.0_69713,19,2.5.0_69713_19
2.5.0,69713,"December 11, 2025",Now: Damage is dealt to your Primary Resource before Life and damage taken this way is drastically reduced. Your Primary Resource is doubled but Maximum Life is reduced by 75%.,2.5.0_69713,20,2.5.0_69713_20
2.5.0,69713,"December 11, 2025",Damage per 10 points of Strength increased from 1% to 1.1%.,2.5.0_69713,21,2.5.0_69713_21
2.5.0,69713,"December 11, 2025",Width of the hitbox has been doubled.,2.5.0_69713,22,2.5.0_69713_22
2.5.0,69713,"December 11, 2025",Reverted Fury cap from PTR.,2.5.0_69713,23,2.5.0_69713_23
2.5.0,69713,"December 11, 2025",Adjusted attack speed scaling.,2.5.0_69713,24,2.5.0_69713_24
2.5.0,69713,"December 11, 2025","Now increases maximum Fury, up to 100.",2.5.0_69713,25,2.5.0_69713_25
2.5.0,69713,"December 11, 2025","Fury generation per enemy hit increased from 3% to 10%, up to 10 stacks.",2.5.0_69713,26,2.5.0_69713_26
2.5.0,69713,"December 11, 2025","Previous: While above 55-40 Fury, you are Berserk, but 2 Fury Drains per second.",2.5.0_69713,27,2.5.0_69713_27
2.5.0,69713,"December 11, 2025","Now: While above 50 Fury, deal 10-30%x increased damage and gain Berserking, but 3 Fury Drains per second.",2.5.0_69713,28,2.5.0_69713_28
2.5.0,69713,"December 11, 2025",The shorter cooldown for the last Brawling skill used before re-enabling all of them now scales based on attack speed.,2.5.0_69713,29,2.5.0_69713_29
2.5.0,69713,"December 11, 2025",Blood Pool bonus damage no longer only applies to the casting player.,2.5.0_69713,30,2.5.0_69713_30
2.5.0,69713,"December 11, 2025",Increased damage increased from 45%[x] to 60%[x].,2.5.0_69713,31,2.5.0_69713_31
2.5.0,69713,"December 11, 2025",Increased damage increased from 45%[x] to 60%[x].,2.5.0_69713,32,2.5.0_69713_32
2.5.0,69713,"December 11, 2025",Increased damage increased from 30%[x] to 45%[x].,2.5.0_69713,33,2.5.0_69713_33
2.5.0,69713,"December 11, 2025",Increased damage increased from 20%[x] to 25%[x].,2.5.0_69713,34,2.5.0_69713_34
2.5.0,69713,"December 11, 2025",Increased Critical Strike Damage increased from 30%[x] to 45%[x].,2.5.0_69713,35,2.5.0_69713_35
2.5.0,69713,"December 11, 2025",Increased damage to Injured and Healthy increased from 30%[x] to 45%[x].,2.5.0_69713,36,2.5.0_69713_36
2.5.0,69713,"December 11, 2025",Maximum Damaging Reduction from Fortify increased from 10% to 15%.,2.5.0_69713,37,2.5.0_69713_37
2.5.0,69713,"December 11, 2025",Affixes Removed: Damage while War Cry is Active.,2.5.0_69713,38,2.5.0_69713_38
2.5.0,69713,"December 11, 2025",No longer available.,2.5.0_69713,39,2.5.0_69713_39
2.5.0,69713,"December 11, 2025",Resource Generations with Two-Handed Bludgeoning Weapons,2.5.0_69713,40,2.5.0_69713_40
2.5.0,69713,"December 11, 2025",Resource Generations with Dual Wielded Weapons,2.5.0_69713,41,2.5.0_69713_41
2.5.0,69713,"December 11, 2025",Resource Generations with Two-Handed Slashing Weapons,2.5.0_69713,42,2.5.0_69713_42
2.5.0,69713,"December 11, 2025",Lucky Hit chance for the channeled damage increased from 2% to 6%.,2.5.0_69713,43,2.5.0_69713_43
2.5.0,69713,"December 11, 2025",Cooldown reduced from 50 to 35 seconds.,2.5.0_69713,44,2.5.0_69713_44
2.5.0,69713,"December 11, 2025",Duration increased from 10 to 12 seconds.,2.5.0_69713,45,2.5.0_69713_45
2.5.0,69713,"December 11, 2025",Damage Reduction increased from 20% to 30%.,2.5.0_69713,46,2.5.0_69713_46
2.5.0,69713,"December 11, 2025",Previous: You gain 30%[+] increased Armor while Grizzly Rage is active.,2.5.0_69713,47,2.5.0_69713_47
2.5.0,69713,"December 11, 2025",Now: Cooldown reduced by 10 seconds.,2.5.0_69713,48,2.5.0_69713_48
2.5.0,69713,"December 11, 2025",Damage against immobilized enemies increased from 15%[x] to 25%[x].,2.5.0_69713,49,2.5.0_69713_49
2.5.0,69713,"December 11, 2025",Critical Strike Damage increased from 15%[x] to 20%[x].,2.5.0_69713,50,2.5.0_69713_50
2.5.0,69713,"December 11, 2025","Previous: The duration of Grizzly Rage is increased by 3-10 seconds. In addition, Critical Strikes while Grizzly Rage is active increase your Critical Strike Damage by 10%[x] for the duration, up to maximum of 200%[x].",2.5.0_69713,51,2.5.0_69713_51
2.5.0,69713,"December 11, 2025","Now: Critical Strikes while in Grizzly Rage increases your damage by 3%[x] for 60 seconds, up to 120%[x].",2.5.0_69713,52,2.5.0_69713_52
2.5.0,69713,"December 11, 2025",Changed to Aspect of the Rabid Beast.,2.5.0_69713,53,2.5.0_69713_53
2.5.0,69713,"December 11, 2025","Previous: While Grizzly Rage is active, your direct damage is converted into Poison damage, you deal x[40 - 80]% more Poison damage, and you passively spread Rabies.",2.5.0_69713,54,2.5.0_69713_54
2.5.0,69713,"December 11, 2025","Now: Deal 40-80%[x] more Poison Damage. While Shapeshifted, your direct damage is converted into Poison damage.",2.5.0_69713,55,2.5.0_69713_55
2.5.0,69713,"December 11, 2025","Previous (PTR): Damaging [200 - 100] Enemies with Storm Skills grants a charge. Casting any Defensive Skill will grant Max Movement Speed and Unhindered for 1 second for each charge used. While Charged, enemies you run into are Immobilized for 1 second.",2.5.0_69713,56,2.5.0_69713_56
2.5.0,69713,"December 11, 2025",Now: Damaging 150-100 Enemies with Nature Magic Skills grants Max Movement Speed and Unhindered for 4-8 seconds. Enemies you run through are Immobilized for 1 second.,2.5.0_69713,57,2.5.0_69713_57
2.5.0,69713,"December 11, 2025",Movement Speed Affix replaced with 1-2 ranks of Endless Tempest.,2.5.0_69713,58,2.5.0_69713_58
2.5.0,69713,"December 11, 2025","Previous: Your Earth Skills deal 10%[x] increased Critical Strike Damage, increased by 20%[x] of your Damage vs Crowd Controlled bonus, up to 60%[x].",2.5.0_69713,59,2.5.0_69713_59
2.5.0,69713,"December 11, 2025",Now: Your Earth Skills deal 70%[x] increased Critical Strike Damage.,2.5.0_69713,60,2.5.0_69713_60
2.5.0,69713,"December 11, 2025",Previous: Nature Magic Skills deal 35%[x] increased damage to Poisoned enemies. Lucky Hit: Nature Magic Skills have up to a 40% chance to Poison the enemy for 800% damage over 4 seconds.,2.5.0_69713,61,2.5.0_69713_61
2.5.0,69713,"December 11, 2025",Now: Deal 40%[x] increased damage to Poisoned enemies. Lucky Hit: Nature Magic Skills have up to a 40% chance to Poison the enemy for 1000% damage over 4 seconds.,2.5.0_69713,62,2.5.0_69713_62
2.5.0,69713,"December 11, 2025",Digitigrade Gait,2.5.0_69713,63,2.5.0_69713_63
2.5.0,69713,"December 11, 2025",Attack Speed increased by 25%.,2.5.0_69713,64,2.5.0_69713_64
2.5.0,69713,"December 11, 2025",Reverted Essence cap from PTR.,2.5.0_69713,65,2.5.0_69713_65
2.5.0,69713,"December 11, 2025",Removed the requirement for controlling 7 or more Minions.,2.5.0_69713,66,2.5.0_69713_66
2.5.0,69713,"December 11, 2025",Timer for Overpower reduced from 15 to 10 seconds.,2.5.0_69713,67,2.5.0_69713_67
2.5.0,69713,"December 11, 2025",Barrier reduced from 1-8% to 1-3% of Maximum Health.,2.5.0_69713,68,2.5.0_69713_68
2.5.0,69713,"December 11, 2025","Consuming a Corpse now contributes 3 souls to Vampiric Curse, up from 1.",2.5.0_69713,69,2.5.0_69713_69
2.5.0,69713,"December 11, 2025",Damage bonus increased from 15-25% to 20-30% per soul.,2.5.0_69713,70,2.5.0_69713_70
2.5.0,69713,"December 11, 2025",Damage increased from 40-80% to 60-120% of weapon damage.,2.5.0_69713,71,2.5.0_69713_71
2.5.0,69713,"December 11, 2025",Blood Lance Damage increased from 10-40% to 30-60%.,2.5.0_69713,72,2.5.0_69713_72
2.5.0,69713,"December 11, 2025",Damage increased from 520-900% to 650-1100% of weapon damage.,2.5.0_69713,73,2.5.0_69713_73
2.5.0,69713,"December 11, 2025","Bone Golem's combo attack of two swings now counts as a single attack for the purposes of Ring of Mendeln, rather than two separate attacks.",2.5.0_69713,74,2.5.0_69713_74
2.5.0,69713,"December 11, 2025",Resource Generation with Two-Handed Weapons.,2.5.0_69713,75,2.5.0_69713_75
2.5.0,69713,"December 11, 2025",Resource Generation while Wielding a Shield.,2.5.0_69713,76,2.5.0_69713_76
2.5.0,69713,"December 11, 2025",Damage scaling per 10 points of Dexterity increased from 1.1% to 1.25%.,2.5.0_69713,77,2.5.0_69713_77
2.5.0,69713,"December 11, 2025",Healing reduced from 10% to 6%.,2.5.0_69713,78,2.5.0_69713_78
