bullet_id,version,date,bullet_text,auto_label,label_reason
2.5.0_69713_230,2.5.0,"December 11, 2025","Now: A Pestilent Swarm spawns from you every 4 seconds, dealing x Poison damage per hit. Your Pestilent Swarms now orbit around you and reduce an equipped Eagle Skill's cooldown by 0.25 seconds per hit.",QoL,qol_keyword
2.5.0_69713_243,2.5.0,"December 11, 2025",Updated the tooltips to display the damage that scales with the above affix in blue.,QoL,qol_keyword
2.5.0_69713_250,2.5.0,"December 11, 2025",Updated the tooltip to clarify that Gorilla skills do not need to be Cast to gain the effect.,QoL,qol_keyword
2.5.0_69713_255,2.5.0,"December 11, 2025",Fixed the tooltip to clarify it invokes a free Concussive stomp rather than Casting.,QoL,qol_keyword
2.5.0_69713_259,2.5.0,"December 11, 2025",Required attacks increased from 3 to 20.,QoL,qol_keyword
2.5.0_69713_268,2.5.0,"December 11, 2025",Significantly increased the potency of Tribute of Growth's experience rewards before Level 60.,QoL,qol_keyword
2.5.0_69713_272,2.5.0,"December 11, 2025",Increased the potency of experience orbs that spawn from any Undercity run before level 60.,QoL,qol_keyword
2.5.0_69713_355,2.5.0,"December 11, 2025",Chance for Thorns to activate explosions increased from 25-45% to 40-60%.,QoL,qol_keyword
2.5.0_69713_364,2.5.0,"December 11, 2025",The rank 10 Weapon Expertise bonus now also applies when equipped to the Weapon Technique Slot.,QoL,qol_keyword
2.5.0_69713_483,2.5.0,"December 11, 2025",Shadow Clone's copied skills will now more consistently target the initial target of the skill.,QoL,qol_keyword
2.5.0_69713_498,2.5.0,"December 11, 2025","Previous: While Healthy, the explosion of Frozen Orb deals 45% increased damage.",QoL,qol_keyword
2.5.0_69713_499,2.5.0,"December 11, 2025",Now: Frozen Orb's explosion deals 50% more damage.,QoL,qol_keyword
2.5.0_69713_521,2.5.0,"December 11, 2025",Previous: Casting Frozen Orb has a 35-65% chance to spawn a random Conjuration on your Action Bar when it explodes. Lucky Hit: Your Conjurations have up to a 50-90% chance to launch a Frozen Orb at Nearby enemies.,QoL,qol_keyword
2.5.0_69713_544,2.5.0,"December 11, 2025",The legendary rate for a Level 40 character in season 11 will be equivalent to the legendary rate for a level 25 character in season 10.,QoL,qol_keyword
2.5.0_69713_547,2.5.0,"December 11, 2025","Killing the last Champion in a pack, or any Elite, will always drop equipment and gold, in addition to their standard reward chances.",QoL,qol_keyword
2.5.0_69713_586,2.5.0,"December 11, 2025","Masterworking has been redesigned. Items have a new stat, Refinement, which is displayed on the item tooltip.",QoL,qol_keyword
2.5.0_69713_594,2.5.0,"December 11, 2025",A Masterworked item can be refined one more time to upgrade an affix to a Greater Affix.,QoL,qol_keyword
2.5.0_69713_596,2.5.0,"December 11, 2025","The quantity of Obducite you earn has been adjusted. Players will earn 85% less Obducite, and recipes requiring Obducite have been similarly reduced.",QoL,qol_keyword
2.5.0_69713_601,2.5.0,"December 11, 2025",Potions no longer need to be upgraded.,QoL,qol_keyword
2.5.0_69713_683,2.5.0,"December 11, 2025","Various performance, stability, UI, visual, and audio improvements.",QoL,qol_keyword
