version,build,date,bullet_text,BUFF,NERF,BUG_FIX,NEW_CONTENT,QOL,GAMEPLAY,OTHER,label_count
2.5.2,70156,"January 12, 2026",Line damage increased from 140% to 200%.,1,0,0,0,0,0,0,1
2.5.2,70156,"January 12, 2026",Spit damage increased from 40% to 95%.,1,0,0,0,0,0,0,1
2.5.2,70156,"January 12, 2026",Poison damage bonus increased from 50% to 100%.,1,0,0,0,0,0,0,1
2.5.2,70156,"January 12, 2026",Vulnerable damage bonus increased from 80% to 100%.,1,0,0,0,0,0,0,1
2.5.2,70156,"January 12, 2026",Damage bonus increased from 15% to 30%.,1,0,0,0,0,0,0,1
2.5.2,70156,"January 12, 2026",Stacking damage bonus increased from 1% to 2%.,1,0,0,0,0,0,0,1
2.5.2,70156,"January 12, 2026",Poison damage bonus increased from 40% to 60%.,1,0,0,0,0,0,0,1
2.5.2,70156,"January 12, 2026","Damage bonus increased from 15% to 30%, up to 60% from 30%.",1,0,0,0,0,0,0,1
2.5.2,70156,"January 12, 2026",Fixed an issue where the Screen Reader did not properly read out buttons in the Season Rank menu.,0,0,1,0,0,0,0,1
2.5.2,70156,"January 12, 2026",Dungeons and The Pit,0,0,0,0,0,0,1,0
2.5.2,70156,"January 12, 2026",Fixed an issue where the Hellfire Adherent boss in the Hellish Descent dungeon could leave the boss arena.,0,0,1,0,0,0,0,1
2.5.2,70156,"January 12, 2026",Fixed an issue where quickly leaving boss arenas after entering minor boss arenas in Capstone Dungeons could allow players to circumvent the encounters.,0,0,1,0,1,0,0,2
2.5.2,70156,"January 12, 2026",Fixed an issue where the Leave Dungeon ability could teleport the player back to the first floor of Vault of the Crucible instead of outside the Dungeon.,0,0,1,0,0,0,0,1
2.5.2,70156,"January 12, 2026",Fixed an issue where enemies could endlessly spawn in the second floor of the Enclave of Darkness.,0,1,1,0,0,1,0,3
2.5.2,70156,"January 12, 2026",Fixed an issue where teleporting via the world map to the Hellish Descent dungeon took the player to the wrong location.,0,0,1,0,0,0,0,1
2.5.2,70156,"January 12, 2026",Fixed an issue where the Guardian's Lair Portal in The Pit could spawn in an unreachable location.,0,0,1,0,0,1,0,2
2.5.2,70156,"January 12, 2026",Fixed an issue where Belial could be damaged before he fully spawned in The Pit.,0,0,1,0,0,1,0,2
2.5.2,70156,"January 12, 2026",Fixed an issue where Druid players could not use the Armory until they unlocked Spirt Boons.,0,0,1,1,1,0,0,3
2.5.2,70156,"January 12, 2026",Fixed an issue where previously earned renown rewards for extra potion charges still applied for some players.,0,0,1,0,0,0,0,1
2.5.2,70156,"January 12, 2026","Fixed an issue where Elite Monsters with the Soul Drinker Affix could scale indefinitely, becoming extremely large and eventually unkillable. Who knew drinking souls could be so good for bulking?",0,0,1,1,0,0,0,2
2.5.2,70156,"January 12, 2026",Fixed an issue where sometimes mounts would fail to break through barriers when using Spur.,0,0,1,0,0,0,0,1
2.5.2,70156,"January 12, 2026",User Interface and User Experience,0,0,0,0,0,0,1,0
2.5.2,70156,"January 12, 2026",Fixed an issue where Greater Affixes would lose their unique colored text after being upgraded through Masterworking.,0,0,1,0,0,0,0,1
2.5.2,70156,"January 12, 2026",Fixed an issue where the Boss Health Bar would be duplicated after it revived when fighting the Entwined Souls in Enclave of Darkness.,0,0,1,0,0,0,0,1
2.5.2,70156,"January 12, 2026",Fixed an issue where Toughness did not display properly when comparing items.,0,0,1,0,0,0,0,1
2.5.2,70156,"January 12, 2026",Fixed an issue where the visual effect for the Poison Enchanted affix could persist after the damaging effect was complete.,0,0,1,0,0,0,0,1
2.5.2,70156,"January 12, 2026",Fixed an issue where players on controller could accidentally re-summon Azmodan when trying to collect loot after defeating him.,0,0,1,0,0,0,0,1
2.5.2,70156,"January 12, 2026","Various stability, performance, UI, and visual improvements.",1,0,0,0,1,0,0,2
2.5.1,69864,"December 18, 2025",Updated descriptions and tooltips for Heavenly Sigils so the requirements for sanctifying an item are clearer.,0,0,0,0,1,0,0,1
2.5.1,69864,"December 18, 2025",The Season Rank objective for clearing Pit Tier 40 has been changed to now require a Pit Tier 35 clear instead.,0,0,0,0,1,0,0,1
2.5.1,69864,"December 18, 2025",Various UI consistency and clarity improvements for Sanctification and Season Rank.,1,0,0,0,1,0,0,2
2.5.1,69864,"December 18, 2025",An audio cue has been added to further bring attention to the safe zones in the Vault of the Crucible Capstone Dungeon.,0,0,0,1,0,0,0,1
2.5.1,69864,"December 18, 2025",The altar to summon Azmodan has additional info added to the tooltip to better explain the requirements for summoning Azmodan.,0,0,0,1,1,0,0,2
2.5.1,69864,"December 18, 2025",Fixed an issue where Paladins could not get a Strength affix from Sanctification.,0,0,1,0,0,0,0,1
2.5.1,69864,"December 18, 2025",Fixed an issue where the Extra Damage for Justice Skills Tempering affix didn't apply properly.,0,0,1,0,0,0,0,1
2.5.1,69864,"December 18, 2025",Fixed an issue where the damage increase from Judgement Consumption granted by Virtuous Charge didn't properly apply.,1,0,1,0,0,0,0,2
2.5.1,69864,"December 18, 2025",Fixed an issue where Arbiter of Justice did not benefit from Reach of the Law when Judgement of Uriel was equipped.,0,0,1,0,1,0,0,2
2.5.1,69864,"December 18, 2025",Fixed an issue where the Seraph's Wings upgrade for Arbiter of Justice granted higher than intended movement speed.,0,0,1,0,0,0,0,1
2.5.1,69864,"December 18, 2025",Fixed an issue where the Resolve Stacks from the Aspects of Dominance and Valiance could fall off randomly.,0,0,1,0,0,0,0,1
2.5.1,69864,"December 18, 2025","Fixed an issue where the gauge meter for Arbiter of Justice could stop draining, even though the buff itself reduced properly.",0,1,1,0,0,0,0,2
2.5.1,69864,"December 18, 2025",Fixed an issue where Runes for the Paladin could not be randomly crafted at the Jeweler.,0,0,1,0,0,0,0,1
2.5.1,69864,"December 18, 2025",Fixed an issue where the initial questline to go through Kurast Undercity couldn't be completed for players in the eternal realm.,0,0,1,0,0,0,0,1
2.5.1,69864,"December 18, 2025","Fixed an issue where the Paladin quest,",0,0,1,0,0,0,0,1
2.5.1,69864,"December 18, 2025",Call of the Paladin,0,0,0,0,0,0,1,0
2.5.1,69864,"December 18, 2025",could have progression blocked if the associated monsters were slain by nearby NPCs.,0,0,0,0,0,0,1,0
2.5.1,69864,"December 18, 2025",Fixed an issue where the Herald of Hatred pet would often turn unstoppable and run away from the player.,0,0,1,0,0,0,0,1
2.5.1,69864,"December 18, 2025",Fixed an issue where the objective to Speak to Sihek during the,0,0,1,0,0,0,0,1
2.5.1,69864,"December 18, 2025",Deeds of a Champion,0,0,0,0,0,0,1,0
2.5.1,69864,"December 18, 2025",quest would shift the quest pin location incorrectly.,0,0,0,0,0,0,1,0
2.5.1,69864,"December 18, 2025","Various fixes and improvements to consistency, accuracy, and clarity for tooltips, descriptions, and icons for the Paladin.",1,0,0,0,1,0,0,2
2.5.1,69864,"December 18, 2025",Fixed an issue where the Screen Reader did not read all information in the Ensembles Tab in the Wardrobe.,0,0,1,0,0,0,0,1
2.5.1,69864,"December 18, 2025",Fixed an issue where the boss in the Hellish Descent could fully reset if the player entered specific locations in the boss arena.,0,0,1,0,0,0,0,1
2.5.1,69864,"December 18, 2025",Fixed an issue where the player could get stuck between the wall and the barrier in Enclave of Darkness.,0,0,1,0,0,0,0,1
2.5.1,69864,"December 18, 2025",Fixed an issue where the player respawned at the previous floor when dying during the boss encounter in Enclave of Darkness.,0,0,1,0,0,1,0,2
2.5.1,69864,"December 18, 2025",Fixed an issue where Azmodan's demon gate attack could spawn outside the boss arena in Breach of Sin.,0,0,1,0,0,1,0,2
2.5.1,69864,"December 18, 2025",Fixed an issue where monsters could infinitely spawn in Breach of Sin.,0,0,1,0,0,1,0,2
2.5.1,69864,"December 18, 2025",Fixed an issue where monsters spawned by Animus Carriers also dropped Animus.,0,0,1,0,0,1,0,2
2.5.1,69864,"December 18, 2025",Fixed an issue where Tortured Gifts failed to respawn if Helltide re-appeared in the same region where it was previously.,0,0,1,0,0,1,0,2
2.5.1,69864,"December 18, 2025",Fixed an issue where access to Divine Gifts could be lost when playing in Local Co-Op.,0,0,1,0,0,0,0,1
2.5.1,69864,"December 18, 2025",Fixed an issue where Meteors spawned by the Essence of Hellfire could reflect Thorns damage back onto the player.,0,0,1,0,0,1,0,2
2.5.1,69864,"December 18, 2025",Fixed an issue where the Sanctification Affix for adding quality could malfunction.,0,0,1,0,0,0,0,1
2.5.1,69864,"December 18, 2025",Fixed an issue where Sorcerer's Flame Shield Enchantment would fail to activate if Flame Shield was equipped to the Skill Bar and Orsivane was equipped.,0,0,1,0,1,0,0,2
2.5.1,69864,"December 18, 2025",Fixed an issue where the visual and audio effects for the Essence of Squalor Divine Gift persisted in town.,0,0,1,0,0,0,0,1
2.5.1,69864,"December 18, 2025",These effects has been disabled entirely.,0,0,0,0,0,0,1,0
2.5.1,69864,"December 18, 2025",Fixed an issue where the Spectral Shiver Cosmetic bundle would be missing even if it was properly owned.,0,0,1,0,0,0,0,1
2.5.1,69864,"December 18, 2025","Fixed an issue where the Leaderboard was viewable, despite having no entries there.",0,0,1,0,0,0,0,1
2.5.1,69864,"December 18, 2025",Fixed an issue where tempering Legendary Ancestral Armor required more material types than intended.,0,0,1,0,1,0,0,2
2.5.1,69864,"December 18, 2025",Fixed an issue where the Resolute Defender Challenge could be unlocked when not playing as a Paladin.,0,0,1,1,0,0,0,2
2.5.1,69864,"December 18, 2025","Various stability, UI, visual, performance, and audio improvements.",1,0,0,0,1,0,0,2
2.5.0,69713,"December 11, 2025",Additional changes made since the PTR’s conclusion are highlighted in,0,0,0,0,0,0,1,0
2.5.0,69713,"December 11, 2025",Updates from PTR,0,0,0,0,0,0,1,0
2.5.0,69713,"December 11, 2025",Upgrading an affix to a Greater Affix can now also occur on non-ancestral items.,0,0,0,0,1,0,0,1
2.5.0,69713,"December 11, 2025",Affixes on Ancestral Unique or Mythic Items can no longer be replaced.,0,1,0,0,0,0,0,1
2.5.0,69713,"December 11, 2025",Indestructible affix replaced by adding 5-25 Quality ranks.,0,0,0,0,0,0,1,0
2.5.0,69713,"December 11, 2025","To sanctify an item, it only needs to have an item power of 750 or higher in Torment difficulties, rather than being Ancestral.",0,0,0,0,0,0,1,0
2.5.0,69713,"December 11, 2025","Affix ranges have been adjusted across the board. In general, affix values have been increased, and ranges have been narrowed, and some affixes now have a higher maximum.",1,0,0,0,0,0,0,1
2.5.0,69713,"December 11, 2025",Additional Legendary powers have been added.,0,0,0,1,0,0,0,1
2.5.0,69713,"December 11, 2025",Reduced item quality rewards in pre-Torment difficulties.,0,1,0,0,0,0,0,1
2.5.0,69713,"December 11, 2025",Bonus experience from the maggots in Helltide has been adjusted.,1,0,0,0,0,0,0,1
2.5.0,69713,"December 11, 2025","Glyph Upgrades now get a scaling chance to grant an extra upgrade attempt based on Divine Gift rank. Rank 1 grants a 25% chance, up to a 100% upgrade chance at Rank 5.",1,0,0,0,0,1,0,2
2.5.0,69713,"December 11, 2025",Purified Gifts now grant 2 levels instead of one.,0,0,0,0,0,0,1,0
2.5.0,69713,"December 11, 2025",Lesser Evil Invasion,0,1,0,0,0,0,0,1
2.5.0,69713,"December 11, 2025",Andariel no longer regenerates Health if you die.,0,1,0,0,0,0,0,1
2.5.0,69713,"December 11, 2025",Andariel's phase transition is now much quicker.,0,0,0,0,1,0,0,1
2.5.0,69713,"December 11, 2025",The size of Belial's eyeballs has been increased to make them easier to target.,1,0,0,0,0,0,0,1
2.5.0,69713,"December 11, 2025",Belial's death now takes less time to finish.,0,1,0,0,0,0,0,1
2.5.0,69713,"December 11, 2025",Shrines no longer disappear when fighting Azmodan.,0,1,0,0,0,0,0,1
2.5.0,69713,"December 11, 2025",Azmodan has been granted resilience to bring him more in line with other World Bosses.,0,0,0,0,0,0,1,0
2.5.0,69713,"December 11, 2025",Lesser Evil events in the Overworld now reward unique items from Lair Boss reward pools.,0,1,0,0,0,0,0,1
2.5.0,69713,"December 11, 2025",Mythic Unique Items,0,0,0,0,0,0,1,0
2.5.0,69713,"December 11, 2025","Ahavarion, Spear of Lycander",0,0,0,0,0,0,1,0
2.5.0,69713,"December 11, 2025",Lucky Hit gain resource reduced from 66% to 22%.,1,1,0,0,0,0,0,2
2.5.0,69713,"December 11, 2025",Melted Heart of Selig,0,0,0,0,0,0,1,0
2.5.0,69713,"December 11, 2025",Primary resource generation reduced to 50%.,0,1,0,0,0,0,0,1
2.5.0,69713,"December 11, 2025","Previous (PTR): Each point in your Primary Stat increases your Primary Resource by 3% but you have 75% reduced life. Any damage you would take is dealt to your Primary Resource before your life. If you have not taken damage in 6 seconds, your Resource regenerates to full over 3 seconds.",1,1,0,0,0,0,0,2
2.5.0,69713,"December 11, 2025",Now: Damage is dealt to your Primary Resource before Life and damage taken this way is drastically reduced. Your Primary Resource is doubled but Maximum Life is reduced by 75%.,1,1,0,0,0,0,0,2
2.5.0,69713,"December 11, 2025","To reduce the number of required caps in the game, we adjusted this effect. This now grants less Primary Resource, but should provide roughly as much durability as before.",1,1,0,0,1,0,0,3
2.5.0,69713,"December 11, 2025",Damage per 10 points of Strength increased from 1% to 1.1%.,1,0,0,0,0,0,0,1
2.5.0,69713,"December 11, 2025",Width of the hitbox has been doubled.,1,0,0,0,0,0,0,1
2.5.0,69713,"December 11, 2025",Reverted Fury cap from PTR.,0,0,0,0,0,0,1,0
2.5.0,69713,"December 11, 2025",Adjusted attack speed scaling.,0,0,0,0,0,1,0,1
2.5.0,69713,"December 11, 2025",Enhanced Hammer of the Ancients,1,0,0,0,0,0,0,1
2.5.0,69713,"December 11, 2025","Now increases maximum Fury, up to 100.",1,0,0,0,0,0,0,1
2.5.0,69713,"December 11, 2025","Fury generation per enemy hit increased from 3% to 10%, up to 10 stacks.",1,0,0,0,0,0,0,1
2.5.0,69713,"December 11, 2025",Aspect of Anger Management,0,0,0,0,0,0,1,0
2.5.0,69713,"December 11, 2025","Previous: While above 55-40 Fury, you are Berserk, but 2 Fury Drains per second.",0,0,0,0,0,0,1,0
2.5.0,69713,"December 11, 2025","Now: While above 50 Fury, deal 10-30%x increased damage and gain Berserking, but 3 Fury Drains per second.",1,0,0,0,0,0,0,1
2.5.0,69713,"December 11, 2025",The shorter cooldown for the last Brawling skill used before re-enabling all of them now scales based on attack speed.,0,0,0,0,0,0,1,0
2.5.0,69713,"December 11, 2025",Fields of Crimson,0,0,0,0,0,0,1,0
2.5.0,69713,"December 11, 2025",Blood Pool bonus damage no longer only applies to the casting player.,1,1,0,0,0,0,0,2
2.5.0,69713,"December 11, 2025",Hemorrhage Legendary Node,0,0,0,0,0,0,1,0
2.5.0,69713,"December 11, 2025",Increased damage increased from 45%[x] to 60%[x].,1,0,0,0,0,0,0,1
2.5.0,69713,"December 11, 2025",Blood Rage Legendary Node,0,0,0,0,0,0,1,0
2.5.0,69713,"December 11, 2025",Increased damage increased from 45%[x] to 60%[x].,1,0,0,0,0,0,0,1
2.5.0,69713,"December 11, 2025",Carnage Legendary Node,0,0,0,0,0,0,1,0
2.5.0,69713,"December 11, 2025",Increased damage increased from 30%[x] to 45%[x].,1,0,0,0,0,0,0,1
2.5.0,69713,"December 11, 2025",Decimator Legendary Node,0,0,0,0,0,0,1,0
2.5.0,69713,"December 11, 2025",Increased damage increased from 20%[x] to 25%[x].,1,0,0,0,0,0,0,1
2.5.0,69713,"December 11, 2025",Flawless Technique Legendary Node,0,1,0,0,0,0,0,1
2.5.0,69713,"December 11, 2025",Increased Critical Strike Damage increased from 30%[x] to 45%[x].,1,0,0,0,0,0,0,1
2.5.0,69713,"December 11, 2025",Weapons Master Legendary Node,0,0,0,0,0,0,1,0
2.5.0,69713,"December 11, 2025",Increased damage to Injured and Healthy increased from 30%[x] to 45%[x].,1,0,0,0,0,0,0,1
2.5.0,69713,"December 11, 2025",Maximum Damaging Reduction from Fortify increased from 10% to 15%.,1,0,0,0,0,0,0,1
2.5.0,69713,"December 11, 2025",Affixes Removed: Damage while War Cry is Active.,0,0,0,0,0,0,1,0
2.5.0,69713,"December 11, 2025",No longer available.,0,1,0,0,0,0,0,1
2.5.0,69713,"December 11, 2025",Resource Generations with Two-Handed Bludgeoning Weapons,0,0,0,0,0,0,1,0
2.5.0,69713,"December 11, 2025",Resource Generations with Dual Wielded Weapons,0,0,0,0,0,0,1,0
2.5.0,69713,"December 11, 2025",Resource Generations with Two-Handed Slashing Weapons,0,0,0,0,0,0,1,0
2.5.0,69713,"December 11, 2025",Lucky Hit chance for the channeled damage increased from 2% to 6%.,1,0,0,0,0,0,0,1
2.5.0,69713,"December 11, 2025",Cooldown reduced from 50 to 35 seconds.,0,1,0,0,0,0,0,1
2.5.0,69713,"December 11, 2025",Duration increased from 10 to 12 seconds.,1,0,0,0,0,0,0,1
2.5.0,69713,"December 11, 2025",Damage Reduction increased from 20% to 30%.,1,0,0,0,0,0,0,1
2.5.0,69713,"December 11, 2025",Previous: You gain 30%[+] increased Armor while Grizzly Rage is active.,1,0,0,0,0,0,0,1
2.5.0,69713,"December 11, 2025",Now: Cooldown reduced by 10 seconds.,0,1,0,0,0,0,0,1
2.5.0,69713,"December 11, 2025",Damage against immobilized enemies increased from 15%[x] to 25%[x].,1,0,0,0,0,0,0,1
2.5.0,69713,"December 11, 2025",Critical Strike Damage increased from 15%[x] to 20%[x].,1,0,0,0,0,0,0,1
2.5.0,69713,"December 11, 2025",Aspect of the Rampaging Werebeast,0,0,0,0,0,0,1,0
2.5.0,69713,"December 11, 2025","Previous: The duration of Grizzly Rage is increased by 3-10 seconds. In addition, Critical Strikes while Grizzly Rage is active increase your Critical Strike Damage by 10%[x] for the duration, up to maximum of 200%[x].",1,0,0,0,0,0,0,1
2.5.0,69713,"December 11, 2025","Now: Critical Strikes while in Grizzly Rage increases your damage by 3%[x] for 60 seconds, up to 120%[x].",1,0,0,0,0,0,0,1
2.5.0,69713,"December 11, 2025",Aspect of the Rabid,0,0,0,0,0,0,1,0
2.5.0,69713,"December 11, 2025",Changed to Aspect of the Rabid Beast.,0,0,0,0,0,0,1,0
2.5.0,69713,"December 11, 2025","Previous: While Grizzly Rage is active, your direct damage is converted into Poison damage, you deal x[40 - 80]% more Poison damage, and you passively spread Rabies.",0,0,0,0,0,0,1,0
2.5.0,69713,"December 11, 2025","Now: Deal 40-80%[x] more Poison Damage. While Shapeshifted, your direct damage is converted into Poison damage.",1,0,0,0,0,0,0,1
2.5.0,69713,"December 11, 2025",Khamsin Steppewalkers (New Boots),0,0,0,1,0,0,0,1
2.5.0,69713,"December 11, 2025","Previous (PTR): Damaging [200 - 100] Enemies with Storm Skills grants a charge. Casting any Defensive Skill will grant Max Movement Speed and Unhindered for 1 second for each charge used. While Charged, enemies you run into are Immobilized for 1 second.",1,0,0,0,0,0,0,1
2.5.0,69713,"December 11, 2025",Now: Damaging 150-100 Enemies with Nature Magic Skills grants Max Movement Speed and Unhindered for 4-8 seconds. Enemies you run through are Immobilized for 1 second.,1,0,0,0,0,0,0,1
2.5.0,69713,"December 11, 2025",Movement Speed Affix replaced with 1-2 ranks of Endless Tempest.,0,1,0,0,0,0,0,1
2.5.0,69713,"December 11, 2025","Previous: Your Earth Skills deal 10%[x] increased Critical Strike Damage, increased by 20%[x] of your Damage vs Crowd Controlled bonus, up to 60%[x].",1,0,0,0,0,0,0,1
2.5.0,69713,"December 11, 2025",Now: Your Earth Skills deal 70%[x] increased Critical Strike Damage.,1,0,0,0,0,0,0,1
2.5.0,69713,"December 11, 2025",Previous: Nature Magic Skills deal 35%[x] increased damage to Poisoned enemies. Lucky Hit: Nature Magic Skills have up to a 40% chance to Poison the enemy for 800% damage over 4 seconds.,1,0,0,0,0,0,0,1
2.5.0,69713,"December 11, 2025",Now: Deal 40%[x] increased damage to Poisoned enemies. Lucky Hit: Nature Magic Skills have up to a 40% chance to Poison the enemy for 1000% damage over 4 seconds.,1,0,0,0,0,0,0,1
2.5.0,69713,"December 11, 2025",Book of the Dead,0,0,0,0,0,0,1,0
2.5.0,69713,"December 11, 2025",Attack Speed increased by 25%.,1,0,0,0,0,0,0,1
2.5.0,69713,"December 11, 2025",Reverted Essence cap from PTR.,0,0,0,0,0,0,1,0
2.5.0,69713,"December 11, 2025",Removed the requirement for controlling 7 or more Minions.,0,0,0,0,1,0,0,1
