patch,build,date,section,subsection,category,change_type,previous,now,full_text
2.5.2,70156,"January 12, 2026",Gameplay,,,single,,,Fixed an issue where previously earned renown rewards for extra potion charges still applied for some players.
2.5.2,70156,"January 12, 2026",Gameplay,,,single,,,"Fixed an issue where Elite Monsters with the Soul Drinker Affix could scale indefinitely, becoming extremely large and eventually unkillable. Who knew drinking souls could be so good for bulking?"
2.5.2,70156,"January 12, 2026",Gameplay,,,single,,,Fixed an issue where sometimes mounts would fail to break through barriers when using Spur.
2.5.2,70156,"January 12, 2026",Gameplay,,,single,,,User Interface and User Experience
2.5.2,70156,"January 12, 2026",Gameplay,,,single,,,Fixed an issue where Greater Affixes would lose their unique colored text after being upgraded through Masterworking.
2.5.2,70156,"January 12, 2026",Gameplay,,,single,,,Fixed an issue where the Boss Health Bar would be duplicated after it revived when fighting the Entwined Souls in Enclave of Darkness.
2.5.2,70156,"January 12, 2026",Gameplay,,,single,,,Fixed an issue where Toughness did not display properly when comparing items.
2.5.2,70156,"January 12, 2026",Gameplay,,,single,,,Fixed an issue where the visual effect for the Poison Enchanted affix could persist after the damaging effect was complete.
2.5.2,70156,"January 12, 2026",Miscellaneous,,,single,,,Fixed an issue where players on controller could accidentally re-summon Azmodan when trying to collect loot after defeating him.
2.5.2,70156,"January 12, 2026",Miscellaneous,,,single,,,"Various stability, performance, UI, and visual improvements."
2.5.1,69864,"December 18, 2025",Base Game,,,single,,,Updated descriptions and tooltips for Heavenly Sigils so the requirements for sanctifying an item are clearer.
2.5.1,69864,"December 18, 2025",Base Game,,,single,,,The Season Rank objective for clearing Pit Tier 40 has been changed to now require a Pit Tier 35 clear instead.
2.5.1,69864,"December 18, 2025",Base Game,,,single,,,Various UI consistency and clarity improvements for Sanctification and Season Rank.
2.5.1,69864,"December 18, 2025",Base Game,,,single,,,An audio cue has been added to further bring attention to the safe zones in the Vault of the Crucible Capstone Dungeon.
2.5.1,69864,"December 18, 2025",Base Game,,,single,,,The altar to summon Azmodan has additional info added to the tooltip to better explain the requirements for summoning Azmodan.
2.5.1,69864,"December 18, 2025",Expansion,,,single,,,Fixed an issue where Paladins could not get a Strength affix from Sanctification.
2.5.1,69864,"December 18, 2025",Expansion,,,single,,,Fixed an issue where the Extra Damage for Justice Skills Tempering affix didn't apply properly.
2.5.1,69864,"December 18, 2025",Expansion,,,single,,,Fixed an issue where the damage increase from Judgement Consumption granted by Virtuous Charge didn't properly apply.
2.5.1,69864,"December 18, 2025",Expansion,,,single,,,Fixed an issue where Arbiter of Justice did not benefit from Reach of the Law when Judgement of Uriel was equipped.
2.5.1,69864,"December 18, 2025",Expansion,,,single,,,Fixed an issue where the Seraph's Wings upgrade for Arbiter of Justice granted higher than intended movement speed.
2.5.1,69864,"December 18, 2025",Expansion,,,single,,,Fixed an issue where the Resolve Stacks from the Aspects of Dominance and Valiance could fall off randomly.
2.5.1,69864,"December 18, 2025",Expansion,,,single,,,"Fixed an issue where the gauge meter for Arbiter of Justice could stop draining, even though the buff itself reduced properly."
2.5.1,69864,"December 18, 2025",Expansion,,,single,,,Fixed an issue where Runes for the Paladin could not be randomly crafted at the Jeweler.
2.5.1,69864,"December 18, 2025",Expansion,,,single,,,Fixed an issue where the initial questline to go through Kurast Undercity couldn't be completed for players in the eternal realm.
2.5.1,69864,"December 18, 2025",Expansion,,,single,,,"Fixed an issue where the Paladin quest,"
2.5.1,69864,"December 18, 2025",Expansion,,,single,,,Call of the Paladin
2.5.1,69864,"December 18, 2025",Expansion,,,single,,,could have progression blocked if the associated monsters were slain by nearby NPCs.
2.5.1,69864,"December 18, 2025",Expansion,,,single,,,Fixed an issue where the Herald of Hatred pet would often turn unstoppable and run away from the player.
2.5.1,69864,"December 18, 2025",Expansion,,,single,,,Fixed an issue where the objective to Speak to Sihek during the
2.5.1,69864,"December 18, 2025",Expansion,,,single,,,Deeds of a Champion
2.5.1,69864,"December 18, 2025",Expansion,,,single,,,quest would shift the quest pin location incorrectly.
2.5.1,69864,"December 18, 2025",Expansion,,,single,,,"Various fixes and improvements to consistency, accuracy, and clarity for tooltips, descriptions, and icons for the Paladin."
2.5.1,69864,"December 18, 2025",Accessibility,,,single,,,Fixed an issue where the Screen Reader did not read all information in the Ensembles Tab in the Wardrobe.
2.5.1,69864,"December 18, 2025",Accessibility,,,single,,,Capstone Dungeons
2.5.1,69864,"December 18, 2025",Accessibility,,,single,,,Fixed an issue where the boss in the Hellish Descent could fully reset if the player entered specific locations in the boss arena.
2.5.1,69864,"December 18, 2025",Accessibility,,,single,,,Fixed an issue where the player could get stuck between the wall and the barrier in Enclave of Darkness.
2.5.1,69864,"December 18, 2025",Accessibility,,,single,,,Fixed an issue where the player respawned at the previous floor when dying during the boss encounter in Enclave of Darkness.
2.5.1,69864,"December 18, 2025",Accessibility,,,single,,,Fixed an issue where Azmodan's demon gate attack could spawn outside the boss arena in Breach of Sin.
2.5.1,69864,"December 18, 2025",Accessibility,,,single,,,Fixed an issue where monsters could infinitely spawn in Breach of Sin.
2.5.1,69864,"December 18, 2025",Gameplay,,,single,,,Fixed an issue where monsters spawned by Animus Carriers also dropped Animus.
2.5.1,69864,"December 18, 2025",Gameplay,,,single,,,Fixed an issue where Tortured Gifts failed to respawn if Helltide re-appeared in the same region where it was previously.
2.5.1,69864,"December 18, 2025",Gameplay,,,single,,,Fixed an issue where access to Divine Gifts could be lost when playing in Local Co-Op.
2.5.1,69864,"December 18, 2025",Gameplay,,,single,,,Fixed an issue where Meteors spawned by the Essence of Hellfire could reflect Thorns damage back onto the player.
2.5.1,69864,"December 18, 2025",Gameplay,,,single,,,Fixed an issue where the Sanctification Affix for adding quality could malfunction.
2.5.1,69864,"December 18, 2025",Gameplay,,,single,,,Fixed an issue where Sorcerer's Flame Shield Enchantment would fail to activate if Flame Shield was equipped to the Skill Bar and Orsivane was equipped.
2.5.1,69864,"December 18, 2025",Miscellaneous,,,single,,,Fixed an issue where the visual and audio effects for the Essence of Squalor Divine Gift persisted in town.
2.5.1,69864,"December 18, 2025",Miscellaneous,,,single,,,Developer’s Note:
2.5.1,69864,"December 18, 2025",Miscellaneous,,,single,,,These effects has been disabled entirely.
2.5.1,69864,"December 18, 2025",Miscellaneous,,,single,,,Fixed an issue where the Spectral Shiver Cosmetic bundle would be missing even if it was properly owned.
2.5.1,69864,"December 18, 2025",Miscellaneous,,,single,,,"Fixed an issue where the Leaderboard was viewable, despite having no entries there."
2.5.1,69864,"December 18, 2025",Miscellaneous,,,single,,,Fixed an issue where tempering Legendary Ancestral Armor required more material types than intended.
2.5.1,69864,"December 18, 2025",Miscellaneous,,,single,,,Fixed an issue where the Resolute Defender Challenge could be unlocked when not playing as a Paladin.
2.5.1,69864,"December 18, 2025",Miscellaneous,,,single,,,"Various stability, UI, visual, performance, and audio improvements."
2.5.0,69713,"December 11, 2025",,,,single,,,Note:
2.5.0,69713,"December 11, 2025",,,,single,,,Additional changes made since the PTR’s conclusion are highlighted in
2.5.0,69713,"December 11, 2025",,,,single,,,blue
2.5.0,69713,"December 11, 2025",,,,single,,,.
2.5.0,69713,"December 11, 2025",,,,single,,,Updates from PTR
2.5.0,69713,"December 11, 2025",,,,single,,,Sanctification
2.5.0,69713,"December 11, 2025",,,,single,,,Upgrading an affix to a Greater Affix can now also occur on non-ancestral items.
2.5.0,69713,"December 11, 2025",,,,single,,,Affixes on Ancestral Unique or Mythic Items can no longer be replaced.
2.5.0,69713,"December 11, 2025",,,,single,,,Indestructible affix replaced by adding 5-25 Quality ranks.
2.5.0,69713,"December 11, 2025",,,,single,,,"To sanctify an item, it only needs to have an item power of 750 or higher in Torment difficulties, rather than being Ancestral."
2.5.0,69713,"December 11, 2025",,,,single,,,"Affix ranges have been adjusted across the board. In general, affix values have been increased, and ranges have been narrowed, and some affixes now have a higher maximum."
2.5.0,69713,"December 11, 2025",,,,single,,,Additional Legendary powers have been added.
2.5.0,69713,"December 11, 2025",,,,single,,,Divine Gifts
2.5.0,69713,"December 11, 2025",,,,single,,,Andariel
2.5.0,69713,"December 11, 2025",,,,single,,,Reduced item quality rewards in pre-Torment difficulties.
2.5.0,69713,"December 11, 2025",,,,single,,,Duriel
2.5.0,69713,"December 11, 2025",,,,single,,,Bonus experience from the maggots in Helltide has been adjusted.
2.5.0,69713,"December 11, 2025",,,,single,,,Glyph Upgrades
2.5.0,69713,"December 11, 2025",,,,single,,,"Glyph Upgrades now get a scaling chance to grant an extra upgrade attempt based on Divine Gift rank. Rank 1 grants a 25% chance, up to a 100% upgrade chance at Rank 5."
2.5.0,69713,"December 11, 2025",,,,single,,,Purified Gifts now grant 2 levels instead of one.
2.5.0,69713,"December 11, 2025",,,,single,,,Lesser Evil Invasion
2.5.0,69713,"December 11, 2025",,,,single,,,Andariel no longer regenerates Health if you die.
2.5.0,69713,"December 11, 2025",,,,single,,,Andariel's phase transition is now much quicker.
2.5.0,69713,"December 11, 2025",,,,single,,,The size of Belial's eyeballs has been increased to make them easier to target.
2.5.0,69713,"December 11, 2025",,,,single,,,Belial's death now takes less time to finish.
2.5.0,69713,"December 11, 2025",,,,single,,,Shrines no longer disappear when fighting Azmodan.
2.5.0,69713,"December 11, 2025",,,,single,,,Azmodan has been granted resilience to bring him more in line with other World Bosses.
2.5.0,69713,"December 11, 2025",,,,single,,,Lesser Evil events in the Overworld now reward unique items from Lair Boss reward pools.
2.5.0,69713,"December 11, 2025",Balance Update,,,single,,,Mythic Unique Items
2.5.0,69713,"December 11, 2025",Balance Update,,,single,,,"Ahavarion, Spear of Lycander"
2.5.0,69713,"December 11, 2025",Balance Update,,,single,,,Lucky Hit gain resource reduced from 66% to 22%.
2.5.0,69713,"December 11, 2025",Balance Update,,,single,,,Melted Heart of Selig
2.5.0,69713,"December 11, 2025",Balance Update,,,single,,,Primary resource generation reduced to 50%.
2.5.0,69713,"December 11, 2025",Balance Update,,,comparison,"Previous (PTR): Each point in your Primary Stat increases your Primary Resource by 3% but you have 75% reduced life. Any damage you would take is dealt to your Primary Resource before your life. If you have not taken damage in 6 seconds, your Resource regenerates to full over 3 seconds.",Damage is dealt to your Primary Resource before Life and damage taken this way is drastically reduced. Your Primary Resource is doubled but Maximum Life is reduced by 75%.,"Changed from Previous (PTR): Each point in your Primary Stat increases your Primary Resource by 3% but you have 75% reduced life. Any damage you would take is dealt to your Primary Resource before your life. If you have not taken damage in 6 seconds, your Resource regenerates to full over 3 seconds. to Damage is dealt to your Primary Resource before Life and damage taken this way is drastically reduced. Your Primary Resource is doubled but Maximum Life is reduced by 75%."
2.5.0,69713,"December 11, 2025",Balance Update,,,single,,,Developer’s Note:
2.5.0,69713,"December 11, 2025",Balance Update,,,single,,,"To reduce the number of required caps in the game, we adjusted this effect. This now grants less Primary Resource, but should provide roughly as much durability as before."
2.5.0,69713,"December 11, 2025",Balance Update,Barbarian,,single,,,Damage per 10 points of Strength increased from 1% to 1.1%.
2.5.0,69713,"December 11, 2025",Balance Update,Barbarian,Skills,single,,,Kick
2.5.0,69713,"December 11, 2025",Balance Update,Barbarian,Skills,single,,,Width of the hitbox has been doubled.
2.5.0,69713,"December 11, 2025",Balance Update,Barbarian,Skills,single,,,Power Kick
2.5.0,69713,"December 11, 2025",Balance Update,Barbarian,Skills,single,,,Reverted Fury cap from PTR.
2.5.0,69713,"December 11, 2025",Balance Update,Barbarian,Skills,single,,,Leap
2.5.0,69713,"December 11, 2025",Balance Update,Barbarian,Skills,single,,,Adjusted attack speed scaling.
2.5.0,69713,"December 11, 2025",Balance Update,Barbarian,Skills,single,,,Enhanced Hammer of the Ancients
2.5.0,69713,"December 11, 2025",Balance Update,Barbarian,Skills,single,,,"Now increases maximum Fury, up to 100."
2.5.0,69713,"December 11, 2025",Balance Update,Barbarian,Skills,single,,,"Fury generation per enemy hit increased from 3% to 10%, up to 10 stacks."
2.5.0,69713,"December 11, 2025",Balance Update,Barbarian,Items,single,,,Aspect of Anger Management
2.5.0,69713,"December 11, 2025",Balance Update,Barbarian,Items,comparison,"While above 55-40 Fury, you are Berserk, but 2 Fury Drains per second.","While above 50 Fury, deal 10-30%x increased damage and gain Berserking, but 3 Fury Drains per second.","Changed from While above 55-40 Fury, you are Berserk, but 2 Fury Drains per second. to While above 50 Fury, deal 10-30%x increased damage and gain Berserking, but 3 Fury Drains per second."
2.5.0,69713,"December 11, 2025",Balance Update,Barbarian,Items,single,,,Chainscourge Mail
2.5.0,69713,"December 11, 2025",Balance Update,Barbarian,Items,single,,,The shorter cooldown for the last Brawling skill used before re-enabling all of them now scales based on attack speed.
2.5.0,69713,"December 11, 2025",Balance Update,Barbarian,Items,single,,,Fields of Crimson
2.5.0,69713,"December 11, 2025",Balance Update,Barbarian,Items,single,,,Blood Pool bonus damage no longer only applies to the casting player.
2.5.0,69713,"December 11, 2025",Balance Update,Barbarian,Paragon,single,,,Hemorrhage Legendary Node
2.5.0,69713,"December 11, 2025",Balance Update,Barbarian,Paragon,single,,,Increased damage increased from 45%[x] to 60%[x].
2.5.0,69713,"December 11, 2025",Balance Update,Barbarian,Paragon,single,,,Blood Rage Legendary Node
2.5.0,69713,"December 11, 2025",Balance Update,Barbarian,Paragon,single,,,Increased damage increased from 45%[x] to 60%[x].
2.5.0,69713,"December 11, 2025",Balance Update,Barbarian,Paragon,single,,,Carnage Legendary Node
2.5.0,69713,"December 11, 2025",Balance Update,Barbarian,Paragon,single,,,Increased damage increased from 30%[x] to 45%[x].
2.5.0,69713,"December 11, 2025",Balance Update,Barbarian,Paragon,single,,,Decimator Legendary Node
2.5.0,69713,"December 11, 2025",Balance Update,Barbarian,Paragon,single,,,Increased damage increased from 20%[x] to 25%[x].
2.5.0,69713,"December 11, 2025",Balance Update,Barbarian,Paragon,single,,,Flawless Technique Legendary Node
2.5.0,69713,"December 11, 2025",Balance Update,Barbarian,Paragon,single,,,Increased Critical Strike Damage increased from 30%[x] to 45%[x].
2.5.0,69713,"December 11, 2025",Balance Update,Barbarian,Paragon,single,,,Weapons Master Legendary Node
2.5.0,69713,"December 11, 2025",Balance Update,Barbarian,Paragon,single,,,Increased damage to Injured and Healthy increased from 30%[x] to 45%[x].
2.5.0,69713,"December 11, 2025",Balance Update,Barbarian,Paragon,single,,,Undaunted Glyph
2.5.0,69713,"December 11, 2025",Balance Update,Barbarian,Paragon,single,,,Maximum Damaging Reduction from Fortify increased from 10% to 15%.
2.5.0,69713,"December 11, 2025",Tempering,,,single,,,Berserking Finesse
2.5.0,69713,"December 11, 2025",Tempering,,,single,,,Affixes Removed: Damage while War Cry is Active.
2.5.0,69713,"December 11, 2025",Tempering,,,single,,,Arsenal Finesse
2.5.0,69713,"December 11, 2025",Tempering,,,single,,,No longer available.
2.5.0,69713,"December 11, 2025",Tempering,,,single,,,Weapon Attunement
2.5.0,69713,"December 11, 2025",Tempering,,,single,,,Affixes Removed:
2.5.0,69713,"December 11, 2025",Tempering,,,single,,,Resource Generations with Two-Handed Bludgeoning Weapons
2.5.0,69713,"December 11, 2025",Tempering,,,single,,,Resource Generations with Dual Wielded Weapons
2.5.0,69713,"December 11, 2025",Tempering,,,single,,,Resource Generations with Two-Handed Slashing Weapons
2.5.0,69713,"December 11, 2025",Tempering,Druid,Skills,single,,,Stoneburst
2.5.0,69713,"December 11, 2025",Tempering,Druid,Skills,single,,,Lucky Hit chance for the channeled damage increased from 2% to 6%.
2.5.0,69713,"December 11, 2025",Tempering,Druid,Skills,single,,,Grizzly Rage
2.5.0,69713,"December 11, 2025",Tempering,Druid,Skills,single,,,Cooldown reduced from 50 to 35 seconds.
2.5.0,69713,"December 11, 2025",Tempering,Druid,Skills,single,,,Duration increased from 10 to 12 seconds.
2.5.0,69713,"December 11, 2025",Tempering,Druid,Skills,single,,,Damage Reduction increased from 20% to 30%.
2.5.0,69713,"December 11, 2025",Tempering,Druid,Skills,single,,,Rank 5:
2.5.0,69713,"December 11, 2025",Tempering,Druid,Skills,comparison,You gain 30%[+] increased Armor while Grizzly Rage is active.,Cooldown reduced by 10 seconds.,Changed from You gain 30%[+] increased Armor while Grizzly Rage is active. to Cooldown reduced by 10 seconds.
2.5.0,69713,"December 11, 2025",Tempering,Druid,Passives,single,,,Earthen Might
2.5.0,69713,"December 11, 2025",Tempering,Druid,Passives,single,,,Damage against immobilized enemies increased from 15%[x] to 25%[x].
2.5.0,69713,"December 11, 2025",Tempering,Druid,Passives,single,,,Critical Strike Damage increased from 15%[x] to 20%[x].
2.5.0,69713,"December 11, 2025",Tempering,Druid,Items,single,,,Aspect of the Rampaging Werebeast
